Start time UTC,End time UTC,Start time UTC+03:00,End time UTC+03:00,Down-regulation price in the Balancing energy market
2018-01-06 23:00:00,2018-01-07 00:00:00,2018-01-07 02:00:00,2018-01-07 03:00:00,27.58
2018-01-07 00:00:00,2018-01-07 01:00:00,2018-01-07 03:00:00,2018-01-07 04:00:00,25.9
2018-01-07 01:00:00,2018-01-07 02:00:00,2018-01-07 04:00:00,2018-01-07 05:00:00,25.89
2018-01-07 02:00:00,2018-01-07 03:00:00,2018-01-07 05:00:00,2018-01-07 06:00:00,26.16
2018-01-07 03:00:00,2018-01-07 04:00:00,2018-01-07 06:00:00,2018-01-07 07:00:00,26.6
2018-01-07 04:00:00,2018-01-07 05:00:00,2018-01-07 07:00:00,2018-01-07 08:00:00,27.14
2018-01-07 05:00:00,2018-01-07 06:00:00,2018-01-07 08:00:00,2018-01-07 09:00:00,27.43
2018-01-07 06:00:00,2018-01-07 07:00:00,2018-01-07 09:00:00,2018-01-07 10:00:00,24.0
2018-01-07 07:00:00,2018-01-07 08:00:00,2018-01-07 10:00:00,2018-01-07 11:00:00,24.0
2018-01-07 08:00:00,2018-01-07 09:00:00,2018-01-07 11:00:00,2018-01-07 12:00:00,24.75
2018-01-07 09:00:00,2018-01-07 10:00:00,2018-01-07 12:00:00,2018-01-07 13:00:00,24.75
2018-01-07 10:00:00,2018-01-07 11:00:00,2018-01-07 13:00:00,2018-01-07 14:00:00,24.75
2018-01-07 11:00:00,2018-01-07 12:00:00,2018-01-07 14:00:00,2018-01-07 15:00:00,24.75
2018-01-07 12:00:00,2018-01-07 13:00:00,2018-01-07 15:00:00,2018-01-07 16:00:00,23.8
2018-01-07 13:00:00,2018-01-07 14:00:00,2018-01-07 16:00:00,2018-01-07 17:00:00,23.21
2018-01-07 14:00:00,2018-01-07 15:00:00,2018-01-07 17:00:00,2018-01-07 18:00:00,23.21
2018-01-07 15:00:00,2018-01-07 16:00:00,2018-01-07 18:00:00,2018-01-07 19:00:00,25.78
2018-01-07 16:00:00,2018-01-07 17:00:00,2018-01-07 19:00:00,2018-01-07 20:00:00,30.88
2018-01-07 17:00:00,2018-01-07 18:00:00,2018-01-07 20:00:00,2018-01-07 21:00:00,31.51
2018-01-07 18:00:00,2018-01-07 19:00:00,2018-01-07 21:00:00,2018-01-07 22:00:00,31.12
2018-01-07 19:00:00,2018-01-07 20:00:00,2018-01-07 22:00:00,2018-01-07 23:00:00,29.96
2018-01-07 20:00:00,2018-01-07 21:00:00,2018-01-07 23:00:00,2018-01-08 00:00:00,24.75
2018-01-07 21:00:00,2018-01-07 22:00:00,2018-01-08 00:00:00,2018-01-08 01:00:00,24.75
2018-01-07 22:00:00,2018-01-07 23:00:00,2018-01-08 01:00:00,2018-01-08 02:00:00,24.6
2018-01-07 23:00:00,2018-01-08 00:00:00,2018-01-08 02:00:00,2018-01-08 03:00:00,20.63
2018-01-08 00:00:00,2018-01-08 01:00:00,2018-01-08 03:00:00,2018-01-08 04:00:00,15.6
2018-01-08 01:00:00,2018-01-08 02:00:00,2018-01-08 04:00:00,2018-01-08 05:00:00,17.53
2018-01-08 02:00:00,2018-01-08 03:00:00,2018-01-08 05:00:00,2018-01-08 06:00:00,19.5
2018-01-08 03:00:00,2018-01-08 04:00:00,2018-01-08 06:00:00,2018-01-08 07:00:00,22.1
2018-01-08 04:00:00,2018-01-08 05:00:00,2018-01-08 07:00:00,2018-01-08 08:00:00,22.69
2018-01-08 05:00:00,2018-01-08 06:00:00,2018-01-08 08:00:00,2018-01-08 09:00:00,24.75
2018-01-08 06:00:00,2018-01-08 07:00:00,2018-01-08 09:00:00,2018-01-08 10:00:00,27.85
2018-01-08 07:00:00,2018-01-08 08:00:00,2018-01-08 10:00:00,2018-01-08 11:00:00,27.5
2018-01-08 08:00:00,2018-01-08 09:00:00,2018-01-08 11:00:00,2018-01-08 12:00:00,25.78
2018-01-08 09:00:00,2018-01-08 10:00:00,2018-01-08 12:00:00,2018-01-08 13:00:00,25.78
2018-01-08 10:00:00,2018-01-08 11:00:00,2018-01-08 13:00:00,2018-01-08 14:00:00,25.78
2018-01-08 11:00:00,2018-01-08 12:00:00,2018-01-08 14:00:00,2018-01-08 15:00:00,25.9
2018-01-08 12:00:00,2018-01-08 13:00:00,2018-01-08 15:00:00,2018-01-08 16:00:00,25.78
2018-01-08 13:00:00,2018-01-08 14:00:00,2018-01-08 16:00:00,2018-01-08 17:00:00,25.78
2018-01-08 14:00:00,2018-01-08 15:00:00,2018-01-08 17:00:00,2018-01-08 18:00:00,26.0
2018-01-08 15:00:00,2018-01-08 16:00:00,2018-01-08 18:00:00,2018-01-08 19:00:00,27.8
2018-01-08 16:00:00,2018-01-08 17:00:00,2018-01-08 19:00:00,2018-01-08 20:00:00,27.85
2018-01-08 17:00:00,2018-01-08 18:00:00,2018-01-08 20:00:00,2018-01-08 21:00:00,28.0
2018-01-08 18:00:00,2018-01-08 19:00:00,2018-01-08 21:00:00,2018-01-08 22:00:00,25.78
2018-01-08 19:00:00,2018-01-08 20:00:00,2018-01-08 22:00:00,2018-01-08 23:00:00,25.78
2018-01-08 20:00:00,2018-01-08 21:00:00,2018-01-08 23:00:00,2018-01-09 00:00:00,24.75
2018-01-08 21:00:00,2018-01-08 22:00:00,2018-01-09 00:00:00,2018-01-09 01:00:00,24.75
